Datetime,Temperature,Memory Free %,CPU Utilization %
2024-03-21 14:20:11,55.02,78.14,58.4
2024-03-21 14:20:27,56.48,78.13,57.93
2024-03-21 14:20:43,55.99,78.16,55.19
2024-03-21 14:20:59,55.99,78.14,55.58
2024-03-21 14:21:15,55.5,78.15,55.19
2024-03-21 14:21:31,55.02,78.15,56.97
2024-03-21 14:21:47,55.02,78.14,55.5
2024-03-21 14:22:03,55.02,78.13,55.33
2024-03-21 14:22:19,55.02,78.11,55.19
2024-03-21 14:22:35,55.02,78.14,56.31
2024-03-21 14:22:51,55.02,78.12,56.31
2024-03-21 14:23:07,55.99,78.12,56.5
2024-03-21 14:23:23,55.99,78.13,56.14
2024-03-21 14:23:39,55.02,78.15,56.2
2024-03-21 14:23:55,55.02,78.26,56.89
2024-03-21 14:24:11,55.5,78.23,56.57
2024-03-21 14:24:27,55.02,78.2,57.18
2024-03-21 14:24:43,54.53,78.17,56.0
2024-03-21 14:24:59,55.02,78.17,58.02
2024-03-21 14:25:15,55.02,78.15,56.39
2024-03-21 14:25:31,55.99,78.15,56.71
2024-03-21 14:25:47,54.04,78.14,56.64
2024-03-21 14:26:03,55.5,78.13,57.21
2024-03-21 14:26:19,55.99,78.14,56.31
2024-03-21 14:26:35,55.99,78.14,56.71
2024-03-21 14:26:51,55.02,78.13,58.29
2024-03-21 14:27:07,55.99,78.12,55.84
2024-03-21 14:27:23,55.5,78.18,59.4
2024-03-21 14:27:39,55.5,78.18,56.46
2024-03-21 14:27:55,55.02,78.16,56.93
2024-03-21 14:28:11,55.5,78.15,56.78
2024-03-21 14:28:27,54.53,78.13,57.18
2024-03-21 14:28:43,55.5,78.15,57.61
2024-03-21 14:28:59,55.5,78.15,57.22
2024-03-21 14:29:15,54.53,78.13,56.82
2024-03-21 14:29:31,54.53,78.08,57.07
2024-03-21 14:29:47,55.5,78.07,56.78
2024-03-21 14:30:03,54.53,78.14,56.5
2024-03-21 14:30:19,55.99,78.16,56.46
2024-03-21 14:30:35,55.99,78.08,59.65
2024-03-21 14:30:51,55.5,78.13,57.07
2024-03-21 14:31:07,55.02,78.1,57.25
2024-03-21 14:31:23,54.53,78.2,56.96
2024-03-21 14:31:39,55.99,78.2,57.5
2024-03-21 14:31:55,54.53,78.18,58.19
2024-03-21 14:32:11,57.94,74.1,97.25
2024-03-21 14:32:27,57.45,69.1,57.72
2024-03-21 14:32:43,55.5,69.09,57.29
2024-03-21 14:32:59,55.02,69.06,57.29
