Datetime,Temperature,Memory Free %,CPU Utilization %
2024-03-22 11:55:06,54.04,83.11,54.14
2024-03-22 11:55:37,53.56,83.0,53.77
2024-03-22 11:56:08,54.53,82.95,54.16
2024-03-22 11:56:39,54.04,82.93,55.47
2024-03-22 11:57:10,53.56,82.93,54.52
2024-03-22 11:57:41,53.56,82.88,54.64
2024-03-22 11:58:12,54.04,83.21,54.55
2024-03-22 11:58:43,54.04,83.11,55.05
2024-03-22 11:59:14,53.56,83.13,54.77
2024-03-22 11:59:45,53.56,83.11,55.72
2024-03-22 12:00:16,53.56,83.13,54.86
2024-03-22 12:00:47,54.53,83.17,54.86
2024-03-22 12:01:18,53.07,83.16,54.94
2024-03-22 12:01:49,54.04,83.17,54.64
2024-03-22 12:02:20,53.56,83.15,54.02
2024-03-22 12:02:51,52.58,83.12,55.09
2024-03-22 12:03:22,53.56,83.11,54.55
2024-03-22 12:03:53,53.07,83.13,58.29
2024-03-22 12:04:24,54.04,83.16,56.06
2024-03-22 12:04:55,54.04,83.14,55.28
2024-03-22 12:05:26,53.07,83.21,55.64
2024-03-22 12:05:57,54.04,83.2,54.27
2024-03-22 12:06:28,53.07,83.15,54.89
2024-03-22 12:06:59,53.56,83.13,56.3
2024-03-22 12:07:30,53.56,83.13,54.66
2024-03-22 12:08:01,53.07,83.15,55.78
2024-03-22 12:08:32,53.56,83.11,54.94
2024-03-22 12:09:03,54.04,83.13,54.8
2024-03-22 12:09:34,52.58,83.13,55.3
2024-03-22 12:10:05,54.04,83.13,55.89
2024-03-22 12:10:36,53.07,83.12,54.68
2024-03-22 12:11:07,54.04,83.12,55.31
2024-03-22 12:11:38,53.07,83.12,55.53
2024-03-22 12:12:09,53.07,83.1,54.55
2024-03-22 12:12:40,54.04,83.1,55.0
2024-03-22 12:13:11,54.04,83.11,54.39
2024-03-22 12:13:42,54.04,83.1,54.86
2024-03-22 12:14:13,53.56,83.12,54.43
2024-03-22 12:14:44,53.56,83.14,54.55
2024-03-22 12:15:15,53.56,83.28,54.41
2024-03-22 12:15:46,53.07,83.28,54.66
2024-03-22 12:16:17,53.56,83.27,54.14
2024-03-22 12:16:48,52.58,83.25,55.16
2024-03-22 12:17:19,53.07,83.25,54.86
2024-03-22 12:17:50,53.56,83.24,54.25
2024-03-22 12:18:21,53.07,83.23,55.05
2024-03-22 12:18:52,53.07,83.2,55.45
2024-03-22 12:19:23,53.07,83.28,54.41
2024-03-22 12:19:54,53.56,83.28,50.12
2024-03-22 12:20:25,52.58,83.28,55.14
2024-03-22 12:20:56,53.56,83.29,55.61
2024-03-22 12:21:27,53.07,83.27,54.41
2024-03-22 12:21:58,53.56,83.26,54.04
2024-03-22 12:22:29,53.56,83.25,54.18
2024-03-22 12:23:00,53.56,83.18,55.22
2024-03-22 12:23:31,54.04,83.19,55.09
2024-03-22 12:24:02,53.56,83.18,54.66
2024-03-22 12:24:33,54.04,83.28,54.94
2024-03-22 12:25:04,53.56,83.27,55.28
2024-03-22 12:25:35,53.07,83.27,54.55
2024-03-22 12:26:06,52.09,83.27,55.28
2024-03-22 12:26:37,53.07,83.27,56.85
2024-03-22 12:27:08,53.56,83.27,54.89
2024-03-22 12:27:39,53.07,83.27,54.48
2024-03-22 12:28:10,52.58,83.28,54.86
2024-03-22 12:28:41,53.07,83.28,55.09
2024-03-22 12:29:12,53.56,83.27,54.77
2024-03-22 12:29:43,51.61,83.26,54.55
2024-03-22 12:30:14,53.56,83.24,53.92
2024-03-22 12:30:45,53.07,83.32,55.58
2024-03-22 12:31:16,52.58,83.29,55.28
2024-03-22 12:31:47,53.56,83.28,54.52
2024-03-22 12:32:18,53.07,83.27,54.18
2024-03-22 12:32:49,53.07,83.23,54.04
2024-03-22 12:33:20,53.07,83.24,54.43
